id,createdTime,Event,Name,Name (from Event),Name (from Notes),Notes,Some notes
rec0Cy5DnjWsR56bJ,2025-06-27T14:56:48.000Z,recEopSFdSptY1d7B,Pitch Day,Pitch Day - 20/06/2025,recjkOOsE15ZOrrMN,recCocEOyZsVUCNn0,"**`Pitch day - 20/06/2025`** | Very emotional week — feeling both demotivated at times and highly motivated at others. She’s starting to change her mindset, trying to be more open to new ideas, perspectives, and support. |  | Wants to find the right person to work with — has already spoken to a few people and is thinking about mutual expectations. |  | Still wants to take more time to get to know people better. |  | Came in with an idea but is becoming more open to other possibilities. |  | Next week: Still wants to explore further. | "
rec18m36xxIjCMzDO,2025-06-27T16:04:28.000Z,recopRLQFsxxP97q7,Pitch day,Pitch Day 27/06/2025,recjkOOsE15ZOrrMN,recibD5fOJHhEU7FZ," | - Talked to many people and ran several experiments | - Still hasn’t found her cofounder, but tried to execute on her own | - Built a landing page by herself and successfully got 38 people on the waiting list | - **Goals:** | -  |     - Organize events with some of the people from the waiting list |     - Find a cofounder to move forward with the project |  | "
rec2oeedaGV47nzWX,2025-07-17T10:44:29.000Z,rec2OoUgYK6AMjPbU,Pitch Day,Pitch Day 11/07/2025,recLJZjnmwep93fmB,rec0QhejQgLA8Fwhg,- cut time to hire by 2  | - screening bot | - no big updates | 
rec31xgqiVtR8oVd4,2025-06-27T15:34:55.000Z,recopRLQFsxxP97q7,pitch day,Pitch Day 27/06/2025,reczBZLnrTPQVYfu0,"recECVBmDnBzslgbO,rectONLC61YtJmvN0", | - 3 users are currently testing AvaHome | - 11 product demos have been booked | - 230 outreach emails sent |  | **Next week:** |  | - Onboard 2 additional users to test AvaHome |  | 
rec3buS9i1pCODN3W,2025-07-17T09:56:39.000Z,rec33L5WjfpqhMojL,Pitch Day,Pitch Day 04/07/2025,recgcfQoyVJ6vQcOv,"recSr6YEhbB1B1OSY,recHBTI1ypAieclDf",18 female users | WhatsApp group launched | Build community  | - Suggest women where to invest —> define goals & coach | - Get commission on this is a potential idea |  | What is the moat or uniqueness? (differentiation) | - Education tools and platforms leave people a lot of information but not where and what to buy  |  | Next step:  | - Validate PoC | - More people in the community (50 people around) | - Take directions (potentially chatbot) |  | 
rec4MjqfPrk44s6bG,2025-07-22T13:54:46.000Z,recGQzbZpBfJGYefJ,Pitch Day,Pitch Day 18/07/2025,rec8M6MPGZEYaZ3rf,"reclrnvOhKD5lwtIL,recekH0WQAEMk26vc","Dominka:  | \- In the whole deck I wasn't sure who is the client vs user | \- Would love to understand where does the business model and pricing come from, and if a roadmap could be created | \- Need to understand what it would take the team to get the governmental data - data plays are notoriously hard and with extremely long delivery timelines, especially on the governmental levels | \- Scalability: How easily can this be replicated in other countries - understand that the team have a network in Germany which would make approaching governments easier - but what about other countries? |  | Niklas:  | - increase early signals | - question if that can be global or only country specific | "
rec4P6Jj27erKJo6l,2025-07-22T13:55:07.000Z,recGQzbZpBfJGYefJ,Pitch Day,Pitch Day 18/07/2025,recS7bP4NjqRJZTzL,recKzegnxmXnG97za,"Dominika: | \- Not much feedback, as from the presentation I didn’t understand the product at all | \- Seem to be super early, missing commercials that could hopefully make us understand it more | "
rec59iL2zQT6r0ZnK,2025-06-27T14:57:39.000Z,recEopSFdSptY1d7B,Pitch Day,Pitch Day - 20/06/2025,recFe6iiMcUH8fyz2,"rech64xasAwEhaY39,rec4OQFf0dpglgdZe","**`Pitch day - 20/06/2025`** | Problem: A lot of misunderstandings in influencer marketing. Yet today, it offers some of the best returns on investment. It’s becoming mainstream, but the industry still lacks structure. | (The problem is already clearly defined.) |  | Solution: Full automation for the category – score and identify the perfect influencers. Campaigns can be created for clients in under a minute, from processing to delivery. |  | Next week: Focus on sales. Onboard a new team member to support with AI and management. Three meetings already planned. | "
rec6gTRpRLFsrI45S,2025-07-17T10:50:34.000Z,recGQzbZpBfJGYefJ,Pitch Day,Pitch Day 18/07/2025,recLJZjnmwep93fmB,rec0QhejQgLA8Fwhg,"Dominika: | \- Targeting French market - wasn't sure if it was just French market, and if yes, then is there a specific reason why French? Is it just because we're in France, or is there a viable business reasoning? | \- ""20-50k pain"" mentioned in the problem statement - what are the numbers representing and where are they coming from | \- HR tech is such a red ocean - the team needs to focus on what is the unique differentiator | \- Potentially look into competition not mentioned in the deck - Manatal, GoHire, Ashby, Workable. | "
rec78CJ3vOSkDHuE6,2025-06-27T15:06:49.000Z,recEopSFdSptY1d7B,Pitch day,Pitch Day - 20/06/2025,recjkOOsE15ZOrrMN,recmqZL8U9G0hHf7k,"**`Pitch day - 20/06/2025`** | Still working on the humanoid simulation market. Exploring how to repurpose existing components of humanoid robots and find valuable use cases. Most of this technology comes from labs and flashy videos — especially in China and the US — while Europe is lagging behind. |  | He’s passionate about robotics and truly believes in the potential of this booming market. Actively trying to convince others of the opportunity. |  | Wants to draw inspiration from what’s happening in Europe and China. |  | Still looking for a CPO or CTO. | Has started identifying suppliers. | Wants to set up one focused work session per week with people who know the ecosystem. | Will be in Munich for an event, and already has a contact who can provide components. | "
rec7DIK3zeyZR36EX,2025-06-27T14:52:42.000Z,recEopSFdSptY1d7B,Pitch day,Pitch Day - 20/06/2025,reczBZLnrTPQVYfu0,recECVBmDnBzslgbO,"**`Pitch day - 20/06/2025`** | Targeting short-term rental agencies and property owners. Building an AI-powered platform for property management. Right now, it’s mainly focused on guest communication, but the goal is to expand into full property management. |  | There are over 1 million Airbnb listings in France – they’ve started doing market sizing. |  | First team is forming. |  | They’re testing the idea as quickly as possible due to heavy competition – speed is key. Tried calling 25 people from Google: 0 responses. Then tried Facebook and WhatsApp communities: 0% success. Switched to LinkedIn outreach and started getting better responses. Also leveraged their own network. |  | Next week: they got a contact from Niklas, who’s a co-host and property owner on Airbnb. Expecting several calls. | "
rec7IJgZSwS9QTn3N,2025-07-17T10:02:02.000Z,rec33L5WjfpqhMojL,Pitch Day,Pitch Day 04/07/2025,rec0nrDbKZrsszvvf,"recwJxcDvm8e0gjn3,recZE4fXnvq3G58il",AI powered credit scoring app | - Problem: freelancers and gig workers are invisible for banks due to thin credit file —> lack of financial history  |  | What they did:  | - Manifesto and landing page |     - Built new landing page as people are not familiar with landing page  | - Clean landing page  |     - Click what credit score it to get informed —> understand why they should care about it | - Test what their personal credit score is  | - Test their score and start assessment —> get insights about their financial information  |     - Test out this week | - Calls with 2 VCs |  | - Voodoo score when banks give low score because they lack data |  | - Franz: spoke to banks |  | - Enter in markets with low regulations |  | What is unique:  | - Alternative data (user provides data —> connect data) |  | - United Credit is connecting all accounts  |  | For next week:  | - Talk to users | - Franz:  |     - Test with CEO of an online bank |     - Franz has friend to do credit scoring —> get as advisor  |  | 
rec7zvLBmytD2Dy8B,2025-07-17T10:42:31.000Z,rec2OoUgYK6AMjPbU,Pitch Day,Pitch Day 11/07/2025,rechY9RpaTtX4jAW5,recAPE9yt0iJZVBA0,
rec82LkRtCvLJ0kdj,2025-06-27T14:57:13.000Z,recEopSFdSptY1d7B,Pitch day,Pitch Day - 20/06/2025,rec13EhdLNCFApcPb,recSt2IAYyrlpGH9W,"**`Pitch day - 20/06/2025`** | First week – still getting to know people and having conversations. |  | Thinking about AI agents in workflows, building on what he learned from his previous companies. Exploring how AI tools can generate revenue. |  | Next week: plans to work more with Tomas, validate the idea, and get initial feedback. | "
rec8R7ggVbue246PA,2025-06-27T16:09:21.000Z,recopRLQFsxxP97q7,Pitch Day,Pitch Day 27/06/2025,recjkOOsE15ZOrrMN,rec7BYeJHPUbDtD44,Still no cofounder.  | Still exploring what he wants to build.  | 
rec9BvF5BXw7iSEc5,2025-07-17T10:40:18.000Z,rec2OoUgYK6AMjPbU,Pitch Day,Pitch Day 11/07/2025,reczBZLnrTPQVYfu0,"rectONLC61YtJmvN0,recECVBmDnBzslgbO","discovered new competitors, new dashboard  |  | new target: | - 6 users, 60 listings  | - no paying subscription planned for next week |  | two weeks test right now for free  | "
rec9XMazjUKGK8Wki,2025-07-17T10:46:49.000Z,rec2OoUgYK6AMjPbU,Pitch Day,Pitch Day 11/07/2025,recytyNYmCLGxzIgt,rec1jwsAl6dhrtLFz,
recAggx6rC3lKA0uB,2025-06-27T15:52:36.000Z,recopRLQFsxxP97q7,Pitch day,Pitch Day 27/06/2025,rec13EhdLNCFApcPb,"rec2aL3QZfZ0jZ7bW,recSt2IAYyrlpGH9W",Team formed ! | worin gon theor topic. Automatic moniorign. | tru to be in a relationship first. |  | Roght time to build. talked ot may founders at station F. People are educting the makrt more. |  |  | 
recAhu1LuDUeZ2wVP,2025-07-17T09:59:04.000Z,rec33L5WjfpqhMojL,Pitch Day,Pitch Day 04/07/2025,recLJZjnmwep93fmB,"rec0QhejQgLA8Fwhg,recSoqbOOhPAmI21u",- 2HR agent MVPs |  | - Whatsapp bot (in the process) | - Real type copilot |     - Real insight to push to recruiter —> maximise output on the interview |  | - 250 leads contacted this week (select people they speak to) | - 22 demos  |     - 7 design partners | - No product market fit |  | - Why no PMF |     - Bot and assistant during meeting |     - Already paying for note taking  |     - No new stuff compared to Nuta which is used by the others |  | - Combine both to one |     - Ask during the next interview |     - Real time analysis  |  | Real time copilot —> value but rather standalone? |  | Next week plan:  | - Universities in the US are like religion |     - Unis are like Facebook page |     - Reach out on these pages —> connections 400 people  | 
recBpQTa4c0tbcSSa,2025-06-27T14:52:06.000Z,recEopSFdSptY1d7B,Pitch day,Pitch Day - 20/06/2025,recjkOOsE15ZOrrMN,rec7BYeJHPUbDtD44,**`Pitch day - 20/06/2025`** | Came in with an idea and has read a lot of marketing studies. There are some risks he needs to explore. Heard a lot of good ideas from others here. |  | Sees a big market opportunity. |  | Currently looking for someone with a business profile. |  | Next week: Plans to focus on his idea and explore the risks. Also aims to have conversations — including one with a founder from a major pharma company — and target MOOCs and sessions. | 
recCyz96BdWMP0sUl,2025-07-22T13:55:06.000Z,recGQzbZpBfJGYefJ,Pitch Day,Pitch Day 18/07/2025,rechY9RpaTtX4jAW5,rec1LGBT5rBulQ00D,"- product not clear at all  | - tough to scale —> corporate training good to close deals but hard to create product and scale from company to company  | - less text, clear bullet points needed  |  | Dominika: | \- Need to present every time like nobody in the room have seen the pitch before (even if they did) | \- The pitch was all over the place, skipped slides which only confused me and led to me not knowing what even is the company doing after 5 minutes | \- With that minimal understanding, my first thought about competition was - Kahoot? | "
recDOwRUu5nHohVWq,2025-07-17T10:28:56.000Z,rec2OoUgYK6AMjPbU,Pitch Day,Pitch Day 11/07/2025,recrvuP1aF4gcmOGR,"recuqVu5yHzofeALq,recHx5khDcNw6mQJU",\- pain: legal is a bottleneck  | \- first client signed (15K!) |  | 
recDTJkNgKGrSxohq,2025-06-27T16:07:01.000Z,recopRLQFsxxP97q7,Pitch Day,Pitch Day 27/06/2025,recjkOOsE15ZOrrMN,recKzegnxmXnG97za, | - Started working with Barbara to test and experiment together | - Had several calls with: | -  |     - US-based founders |     - VCs |     - CTOs |  | **Next week:** |  | - Plans to do much more exploration | - Exploring ideas related to CRMs and outreach | - Looking into field sales use cases |  | 
recF5eqT57QheaA4F,2025-07-22T13:54:56.000Z,recGQzbZpBfJGYefJ,Pitch Day,Pitch Day 18/07/2025,recrvuP1aF4gcmOGR,"recuqVu5yHzofeALq,recHx5khDcNw6mQJU","Dominka:  | \- Data: How would you store the data (inside LLM) and how would you ensure it's not used to train the models  | \- Competitor: ContractPodAI - All-in-one platform with AI triage, review, and workflow automation | \- Want to target big companies - why? Those giants could and would build their own. I'd rather focus on medium enterprises (100-5000 employees) where the pain point is big enough, but the company is small enough not to be able to justify building their own solution | "
recFveYZsR1G21ogm,2025-06-27T14:49:07.000Z,recEopSFdSptY1d7B,Pitch day,Pitch Day - 20/06/2025,reczBZLnrTPQVYfu0,rectONLC61YtJmvN0,"**`Pitch day - 20/06/2025`** | Targeting short-term rental agencies and property owners. Building an AI-powered platform for property management. Right now, it’s mainly focused on guest communication, but the goal is to expand into full property management. |  | There are over 1 million Airbnb listings in France – they’ve started doing market sizing. |  | First team is forming. |  | They’re testing the idea as quickly as possible due to heavy competition – speed is key. Tried calling 25 people from Google: 0 responses. Then tried Facebook and WhatsApp communities: 0% success. Switched to LinkedIn outreach and started getting better responses. Also leveraged their own network. |  | Next week: they got a contact from Niklas, who’s a co-host and property owner on Airbnb. Expecting several calls. | "
recHYIBx0JnnCOVZL,2025-07-17T10:06:28.000Z,rec33L5WjfpqhMojL,Pitch Day,Pitch Day 04/07/2025,rechY9RpaTtX4jAW5,"rec1LGBT5rBulQ00D,recAPE9yt0iJZVBA0","- RSE is too narrow, product with Oudavone too narrow | - Checked with prospects  | - Pilot sold to Credit Agricole  |     - Oudavone's old employer —> she passed it in front of 10-20 ppl |  | - Micro learning and micro actions  |     - Idea to compete with teams etc. |  | - Hard to get into a single product without doing the consulting model | "
recIET00Q3aRYlaK0,2025-06-27T15:28:08.000Z,recopRLQFsxxP97q7,Pitch day,Pitch Day 27/06/2025,rec3zysTAj0wZsqXa,"recFBRePgXKkiq5r6,rec1mGcDGgMvv2pxX,recU3dpfU7PT0OktD"," | - The market is highly fragmented | - 80% of the market is controlled by 3 major players — a “big market” but with a lot of inefficiencies | - **3 main reasons why this matters**: | -  |     1. In just 2 weeks, the team identified significant potential to add value |     2. Most processes are still manual and not digitalised — agencies waste time on manual coding, sending messages, etc. |     3. Compared to fully digital players, traditional actors are inefficient and outdated | - A large portion of the market still relies on manual work | - Lack of transparency — it’s unclear who the best players are | - Signed Letters of Intent (LOIs) with 2 agencies |  | **Next steps:** |  | - Identify and map out other key actors to further validate the pain points | - Start building demos and Proofs of Concept (POCs) |  | "
recIccCu5wosd8th7,2025-06-27T15:00:58.000Z,recEopSFdSptY1d7B,Pitch Day,Pitch Day - 20/06/2025,rec3zysTAj0wZsqXa,recU3dpfU7PT0OktD,**`Pitch day - 20/06/2025`** | Had a lot of conversations. |  | Three very good team discussions and connections with three different projects and people. Currently testing out different teams. It’s been hard for him to commit to just one project. |  | Next week: plans to commit to one and start building. | 
recJX341hap70RJJe,2025-07-22T13:54:39.000Z,recGQzbZpBfJGYefJ,Pitch Day,Pitch Day 18/07/2025,rec0nrDbKZrsszvvf,"recZE4fXnvq3G58il,recwJxcDvm8e0gjn3,rec7BYeJHPUbDtD44","Dominka:  | \- Presentation: focus less on the problem (for such a short presentation), practice the presenting itself | \- Alternative financial data mentioned - what data are we talking about and how would it be acquired | \- Extremely small SOM - with those numbers this is probably not a VC scalable business |  | Niklas: | bad tam sam som | - banks are paying but they are not included: need to include why this is a problem for banks (how to make more revenue), problem statement with SMEs does not make sense anymore  | "
recJawHLVVMBXAbz1,2025-07-22T13:54:59.000Z,recGQzbZpBfJGYefJ,Pitch Day,Pitch Day 18/07/2025,reczBZLnrTPQVYfu0,"rectONLC61YtJmvN0,recECVBmDnBzslgbO","Dominka:  | \- Pricing: Unclear from the deck. Is it 25eur/listing or per user/month? | \- Look in details into the rules of the partnership programs of [Booking.com](http://booking.com/) and Airbnb - the contracts are easy to sign and obtain the API, but notoriously harsh for the third parties and protecting the giants, while harming the growth of the startups |  | "
recJsbX6nfaGV14n3,2025-07-22T13:54:58.000Z,recGQzbZpBfJGYefJ,Pitch Day,Pitch Day 18/07/2025,recTgFx0MhiR4iLBe,"recCocEOyZsVUCNn0,recUOW9AqiE1oDktb","Dominka:  | \- Too early stage to give any comprehensive feedback on the idea | \- As soon as the team agrees on the pivot, please spend less time of the pitch on the product that didn’t work, and rather focus on lesson learned and going forward |  | "
recLIcylrSwzdzPBj,2025-06-27T14:58:52.000Z,recEopSFdSptY1d7B,Pitch Day,Pitch Day - 20/06/2025,recjkOOsE15ZOrrMN,recLUoF1qWfeco20K,"**`Pitch day - 20/06/2025`** | Warehouses: Operators aren’t well connected — it’s hard work with fragmented communication channels. The idea is to build a platform that centralizes everything and takes on the role of a data analyst, delivering real-time insights. |  | They’ve started getting some early users. Began talking to someone from Goldman Sachs in Munich and started pitching to some family offices. |  | Still looking for a technical cofounder and working on making that decision. | "
recLnWSmGtduO4GzB,2025-06-27T15:44:22.000Z,recopRLQFsxxP97q7,Pitch day,Pitch Day 27/06/2025,recjkOOsE15ZOrrMN,recmqZL8U9G0hHf7k, | - Went to Munich for a robotics event | - Noted a clear time gap between current robotics capabilities and future expectations — the field is still quite early-stage | - Planning to conduct interviews this week to dig deeper into the opportunity | - Identified 2 main problems: | -  |     1. Aging population |     2. Interest in exploring robotics applications beyond manufacturing — especially elderly care and assistance | - Spoke to 2 doctors at a hospital to begin validating the idea |  | 
recLwLXdAjq8xzz8z,2025-06-27T14:54:01.000Z,recEopSFdSptY1d7B,Pitch Day,Pitch Day - 20/06/2025,recjkOOsE15ZOrrMN,recZSzWnYZftoZZY7,**`Pitch day - 20/06/2025`** | Talked with Franz and Gabriel. His objective for next week is to find his first two customers and start cold calling. |  | Will be leaving Pioneers to join another program | 
recNaCyR1CGogQPXw,2025-06-27T15:08:41.000Z,recEopSFdSptY1d7B,Pitch day,Pitch Day - 20/06/2025,rec13EhdLNCFApcPb,rec2aL3QZfZ0jZ7bW,**`Pitch day - 20/06/2025`** | Still hasn’t found a cofounder. |  | Next week: Will work with Dylan to see if it’s a good fit and test their working relationship. | 
